"Time Stamp","Time Zone","Name","PTID","Load"
"05/14/2023 02:45:00","EDT","N.Y.C.",61761,4293.421
"05/14/2023 02:45:00","EDT","NORTH",61755,588.186
"05/14/2023 02:45:00","EDT","WEST",61752,1208.6738
"05/14/2023 02:50:00","EDT","CAPITL",61757,894.6835
"05/14/2023 02:50:00","EDT","CENTRL",61754,1191.9015
"05/14/2023 02:50:00","EDT","DUNWOD",61760,477.2891
"05/14/2023 02:50:00","EDT","GENESE",61753,753.3164
"05/14/2023 02:50:00","EDT","HUD VL",61758,776.6688
"05/14/2023 02:50:00","EDT","LONGIL",61762,1627.5734
"05/14/2023 02:50:00","EDT","MHK VL",61756,571.8257
"05/14/2023 02:50:00","EDT","MILLWD",61759,212.2468
"05/14/2023 02:50:00","EDT","N.Y.C.",61761,4300.1094
"05/14/2023 02:50:00","EDT","NORTH",61755,588.5859
"05/14/2023 02:50:00","EDT","WEST",61752,1201.3363
"05/14/2023 02:55:00","EDT","CAPITL",61757,896.2495
"05/14/2023 02:55:00","EDT","CENTRL",61754,1212.8319
"05/14/2023 02:55:00","EDT","DUNWOD",61760,472.5145
